"Path","Bytes","SHA256"
"fuzz/fuzz_targets/approval_ballot_payload.rs","190","9117E5E08F187CB2A61FA153773A8B27BD7EDF5761E25B9D0DEA634DAE7858F5"
"fuzz/fuzz_targets/archive_manifest.rs","176","49CB990216567414545B4EC2DE028D373DB73EB403F25396FA99BD481BBFB526"
"fuzz/fuzz_targets/ballot_package.rs","172","69E47B3BE3CA8985252A5817B909E175AC38145CD776F3B98B72EDF6A6DC64F5"
"fuzz/fuzz_targets/candidate_set.rs","170","802ED537A346A744847BC64FA4A5C0D322356079290701A2BAC82A1F09C3BCAF"
"fuzz/fuzz_targets/canonical_cbor_reader.rs","186","16F561311E6D4B4801558C390187ABB4B996CD7133DEB9EA85EE1DD6A9EE594C"
"fuzz/fuzz_targets/election_manifest.rs","178","830EAEE666427ADC8CF4F44C086DBC97A82EB518A2DB2A8DC93FC3C139C970D7"
"fuzz/fuzz_targets/registry_snapshot.rs","178","9C5E70D35AB79DEE9B0C4C32E3191A348A8FE7AD37132CA8B0B2FFB9F7D45DB2"
"fuzz/import_seeds.py","3444","C5CDDD59E16C6B4D7066A516962BD9694F53B30B7A73DD9BCB6A5E0E33243D91"
"fuzz/rust-toolchain.toml","66","B568EFF36D42BE169260355FAD08E05E65090777352BF5602265F16B0B89E130"
"fuzz/src/lib.rs","10136","A8AD202FDE58F96B27E9B822067FF9C5DB12D53117C7AEA82026846308670C43"
"PHASE_STATUS.md","3644","3B6BB8889924B1088F759C7DF48D50356D0124909A2FA4E60870726645126E7C"
"README.md","763","9DD732393CEBC4555E590F3119EE92125D9359BCAF098BA0EDCC3B45C58B050F"
"ROADMAP.md","2858","E4AEB86D5B6BDD60C7FA79DCC88DFFDE5129D7EDEE2FCE06B5B6EFBCE1097D94"
"rustfmt.toml","97","48AEAC6BD682CC2234E53D087060269C03E77097C7E9C62403EEB791EDD770AE"
"rust-toolchain.toml","86","279D77167CEC5426FA80F457CD066DC74A360FBE4E2816F4F3FA01487A918FDC"
"scripts/Create-Phase1-Baseline.ps1","818","B579415AB14440A98B82ECA64C495B0E5D4D00203733754B9F972615EB91E4E4"
"scripts/Initialize-Project.ps1","628","2FDB5B463301A0D3DB3E5B0BA9BECDE6170ECB3308076E249CF41518C2F73028"
"START-HERE.md","1878","9DAB726DEAB1ABEE17D31CDBA66922907EB3B114479E7FCDD58C1512A66E5EC3"
"test-vectors/COVERAGE.md","4133","053DDBF4F15D32060BA52694C5C93062FBD309D4741A3160C24C9B378CCD932F"
"test-vectors/invalid/cbor-v1/duplicate-approval-selection/description.md","223","D60ED1C0DEE38530F9877C1A7FB014897A91D458170B8AE6EEF82FF1DCEF480B"
"test-vectors/invalid/cbor-v1/duplicate-approval-selection/expected.json","212","2F492C9D9A15C3353ED1D35B7556BAECA654E4FBC935D5D2DFDD81C4909F0C50"
"test-vectors/invalid/cbor-v1/duplicate-approval-selection/input.json","187","0243379640F45DED3A422318B5283E3E759B030C6122FA3DE6DD239BBE233A75"
"test-vectors/invalid/cbor-v1/duplicate-approval-selection/invalid.cbor","5","9E651BBD964F83C64880965A1025807B1A3FEB77C216DFD2BA3B2AF83A7EB42B"
"test-vectors/invalid/cbor-v1/duplicate-approval-selection/invalid.hex","11","01E247FD6D79A96A3796BCCD6FEC193BDD664F19BC46C1A1B466F43960AB5219"
"test-vectors/invalid/cbor-v1/duplicate-candidate-id/description.md","201","F69919CFC9E6200DC1C96498F9BED6BE7E53450115DCE6A09FEE777FA5D9809F"
"test-vectors/invalid/cbor-v1/duplicate-candidate-id/expected.json","196","5DC499C133E94ED2E2A2FEF2B0DD55A502FE5658BF19BC0F96AFDACFC27F6FBF"
